iter	Logloss
0	0.08983187625
1	0.02803915692
2	0.02085363306
3	0.01763782234
4	0.01622717452
5	0.01612329513
6	0.01589323669
7	0.01586256728
8	0.01219619076
9	0.01217287156
10	0.01214835398
11	0.01214803364
12	0.01212557367
13	0.01212551057
14	0.008329394357
15	0.008009946696
16	0.008010031293
17	0.008008579466
18	0.007898441644
19	0.007801536276
20	0.007801521844
21	0.007801459039
22	0.007801199916
23	0.007801271599
24	0.007801157947
25	0.007800861845
26	0.007800787202
27	0.007783476361
28	0.007783371342
29	0.007783321622
30	0.007783284251
31	0.007783223599
32	0.007783111169
33	0.007782840112
34	0.007782838424
35	0.00778253518
36	0.007782611607
37	0.007777237072
38	0.007762068586
39	0.007762047528
40	0.007761708651
41	0.007761877844
42	0.007747427336
43	0.007747457345
44	0.007747464386
45	0.007747449712
46	0.007747525016
47	0.007746227861
48	0.007746245907
49	0.007745922651
50	0.007746010843
51	0.007739581283
52	0.007739498154
53	0.00773702088
54	0.007736868974
55	0.007736784965
56	0.007736700537
57	0.007736376965
58	0.007736382615
59	0.007736414311
60	0.007736380902
61	0.007731855681
62	0.00772748229
63	0.00772697339
64	0.007726434478
65	0.007726275972
66	0.007726391065
67	0.007726027976
68	0.007726025235
69	0.007726025896
70	0.007725441248
71	0.007644572045
72	0.007644510975
73	0.007637010309
74	0.007566631884
75	0.007566669523
76	0.007566604957
77	0.007566587421
78	0.00756657431
79	0.007566526521
80	0.007566517962
81	0.007566472813
82	0.007560283127
83	0.007559808928
84	0.007559653478
85	0.007546033637
86	0.007543774571
87	0.007482638473
88	0.007482102152
89	0.007481545991
90	0.007404025946
91	0.007403727116
92	0.007398360836
93	0.007398360836
94	0.007394142698
95	0.007394114303
96	0.007394193642
97	0.007394124486
98	0.007393855534
99	0.007390572033
100	0.007385534961
101	0.007383998871
102	0.007382317636
103	0.00721952739
104	0.007208413926
105	0.006610846
106	0.006309717817
107	0.005743044651
108	0.005263778271
109	0.004224561365
110	0.004224569216
111	0.004083491657
112	0.003761801566
113	0.003668271113
114	0.003378683927
115	0.003201436814
116	0.002957153983
117	0.002445557164
118	0.002310235892
119	0.002203777847
120	0.002116023781
121	0.002069526738
122	0.001998265122
123	0.001996959756
124	0.001996971935
125	0.001996908983
126	0.001996801715
127	0.001860266974
128	0.00180367408
129	0.001803513985
130	0.001803573048
131	0.001803354256
132	0.001785347708
133	0.001619893185
134	0.001619235342
135	0.001618538099
136	0.001617972703
137	0.001617859492
138	0.001617903881
139	0.001617840342
140	0.001617859345
141	0.001461252732
142	0.001461217367
143	0.00146113732
144	0.001461085131
145	0.001461015795
146	0.001460929511
147	0.001460913956
148	0.001460687461
149	0.001460653563
150	0.001460636248
151	0.001460588924
152	0.00146058232
153	0.001460570507
154	0.001460092448
155	0.001460052681
156	0.001460130821
157	0.00146006875
158	0.001459952138
159	0.001459876004
